X,Y,OBJECTID,sitename,sitedesc,streetaddr,building_s,city,county,state,zip,phonenumbe,tollfree_n,website,latitude,longitude,enrollment,grades_deg
-8540848.1545,4744983.2781,1,Anne Arundel Community College at Arundel Mills, ,7009 Arundel Mills Circle, ,Hanover,Anne Arundel,MD,21076,410-777-2010, ,http://www.aacc.edu/rhec/,39.162564,-76.723746,N/A,"Certificates, Bachelor's & Master's"
-8469811.9068,4715080.8178,2,Eastern Shore Higher Education Center, ,1000 College Circle,P.O. Box 8,Wye Mills,Queen Anne's,MD,21679,410-827-5761, ,http://www.chesapeake.edu/eshec/,38.953981,-76.085616,N/A,Bachelor's & Master's
-8482238.6154,4797645.189,3,Higher Education and Applied Technology Center, ,1201 Technology Drive, ,Aberdeen,Harford,MD,21001,443-360-9200, ,http://www.heatcentermaryland.com/,39.528406,-76.197247,N/A,"Certificates, Bachelor's, Master's & Doctorates"
-8555228.8836,4735655.5425,4,Laurel College Center, ,312 Marshall Avenue,Suite 205,Laurel,Prince George's,MD,20707,443-518-4162, ,http://www.laurelcollegecenter.org/,39.097565,-76.852930,N/A,"Certificates, Associate's, Bachelor's, Master's & Doctorates"
-8520954.195,4623713.5662,5,Southern Maryland Higher Education Center, ,44219 Airport Road,Wildewood Professional and Technology Park,California,St. Mary's,MD,20619,301-737-2500, ,http://www.smhec.org/Pages/Default.aspx,38.312842,-76.545035,N/A,"Certificates, Bachelor's, Master's & Doctorates"
-8593973.5199,4735124.3593,6,The Universities at Shady Grove, ,9630 Gudelsky Drive, ,Rockville,Montgomery,MD,20850,301-738-6000, ,http://www.shadygrove.umd.edu/,39.093862,-77.200980,N/A,"Certificates, Bachelor's, Master's & Doctorates"
-8651882.3434,4814153.1638,7,University of Maryland at Hagerstown, ,32 West Washington Street, ,Hagerstown,Washington,MD,21740,240-527-2060, ,http://www.hagerstown.usmd.edu/,39.642692,-77.721184,N/A,"Certificates, Bachelor's & Master's"
-8561744.4252,4667750.0249,8,Waldorf Center for Higher Education, ,3261 Old Washington Road,Suite 1020,Waldorf,Charles,MD,20602,301-632-2900, ,http://www.waldorfcenter.org/,38.622569,-76.911460,N/A,Associate's & Bachelor's
